"YEAR","AE","AR","AU","AZ","BD","BH","BN","BO","BP_FSU","BP_NONOECD","BP_OAF","BP_OAP","BP_OECD","BP_OME","BP_OSCA","BP_TAF","BP_TAP","BP_TEU","BP_TME","BP_TNA","BP_TSCA","BP_WORLD","BR","CA","CN","CO","DE","DK","DZ","EG","GB","ID","IL","IN","IQ","IR","IT","KW","KZ","LY","MM","MX","MY","NG","NL","NO","OM","PE","PG","PK","PL","QA","RO","RU","SA","SY","TH","TM","TT","UA","US","UZ","VE","VN","YE"
1965,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1966,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1967,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1968,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1969,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1970,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1971,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1972,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1973,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1974,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1975,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1976,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1977,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1978,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1979,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1980,2.311,0.623,0.141,"na",0.275,0.221,0.202,0.118,20.469,57.726,0.33,0.235,13.9,0.0,0.159,5.746,4.547,4.244,24.248,9.578,2.793,71.625,0.055,2.374,0.708,0.117,0.233,0.085,3.581,0.081,0.735,0.834,0.003,0.33,0.739,13.889,0.154,1.001,"na",0.651,0.091,1.809,1.136,1.103,1.99,0.385,0.076,0.031,0.0,0.291,0.077,2.898,0.28,"na",3.024,0.085,0.302,"na",0.289,"na",5.396,"na",1.401,0.0,0.0
1981,2.466,0.63,0.356,"na",0.305,0.214,0.207,0.149,21.749,59.807,0.333,0.238,14.396,0.0,0.153,5.674,5.138,4.08,24.55,10.024,2.988,74.203,0.062,2.441,0.705,0.117,0.218,0.085,3.54,0.08,0.661,0.877,0.002,0.396,0.734,13.874,0.172,0.994,"na",0.632,0.143,2.113,1.179,1.09,1.922,0.369,0.074,0.031,0.0,0.316,0.074,2.929,0.261,"na",3.179,0.085,0.416,"na",0.331,"na",5.47,"na",1.515,0.0,0.0
1982,2.899,0.673,0.5,"na",0.326,0.211,0.215,0.141,22.388,62.224,0.421,0.228,14.439,0.0,0.149,6.03,5.69,3.951,25.422,10.044,3.137,76.663,0.074,2.468,0.866,0.116,0.212,0.085,3.478,0.195,0.63,0.974,0.001,0.404,0.775,13.858,0.173,0.988,"na",0.62,0.143,2.113,1.312,1.316,1.871,0.342,0.078,0.026,0.0,0.358,0.072,3.255,0.238,"na",3.261,0.097,0.362,"na",0.325,"na",5.464,"na",1.633,0.0,0.0
1983,2.973,0.66,0.491,"na",0.299,0.207,0.213,0.129,23.028,63.574,0.531,0.227,14.728,0.0,0.158,6.032,5.844,4.193,25.919,10.077,3.208,78.302,0.085,2.489,0.88,0.109,0.281,0.102,3.399,0.192,0.708,1.207,0.001,0.445,0.78,13.834,0.226,0.984,"na",0.608,0.241,2.159,1.363,1.301,1.838,0.404,0.156,0.025,0.0,0.305,0.069,3.519,0.214,"na",3.367,0.098,0.174,"na",0.308,"na",5.429,"na",1.734,0.0,0.0
1984,3.03,0.65,0.537,"na",0.34,0.203,0.232,0.121,23.987,66.2,0.54,0.225,14.826,0.0,0.153,5.963,6.517,4.128,26.961,10.18,3.291,81.026,0.087,2.676,0.897,0.105,0.269,0.107,3.313,0.226,0.721,1.725,0.001,0.46,0.777,13.806,0.24,0.986,"na",0.597,0.255,2.15,1.325,1.287,1.799,0.377,0.203,0.024,0.0,0.304,0.067,4.43,0.196,"na",3.428,0.098,0.217,"na",0.302,"na",5.354,"na",1.85,0.0,0.0
1985,3.069,0.662,0.553,"na",0.34,0.199,0.232,0.124,25.587,68.572,0.576,0.246,14.746,0.0,0.148,5.913,6.935,4.22,27.23,10.04,3.393,83.318,0.096,2.652,0.879,0.103,0.26,0.095,3.223,0.245,0.645,2.012,0.001,0.462,0.78,13.776,0.249,0.985,"na",0.595,0.263,2.145,1.425,1.273,1.762,0.541,0.205,0.026,0.0,0.297,0.071,4.595,0.252,"na",3.503,0.117,0.226,"na",0.308,"na",5.243,"na",1.926,0.0,0.0
1986,5.279,0.653,0.704,"na",0.341,0.194,0.331,0.132,26.226,74.527,0.703,0.226,14.743,0.0,0.147,7.091,7.572,4.152,29.89,9.935,4.403,89.27,0.099,2.616,0.872,0.109,0.336,0.074,3.137,0.279,0.631,2.299,0.001,0.521,0.78,13.746,0.254,1.109,"na",0.692,0.263,2.125,1.443,2.28,1.728,0.449,0.216,0.053,0.0,0.361,0.122,4.595,0.219,"na",3.82,0.134,0.211,"na",0.301,"na",5.195,"na",2.91,0.0,0.017
1987,5.542,0.674,0.834,"na",0.341,0.188,0.323,0.137,26.674,76.36,0.767,0.22,15.446,0.022,0.146,7.084,7.86,4.896,30.624,9.739,4.93,91.807,0.108,2.565,0.901,0.093,0.331,0.073,3.044,0.295,0.641,2.403,0.001,0.531,0.95,13.713,0.288,1.145,"na",0.691,0.263,2.098,1.421,2.287,1.688,1.238,0.256,0.327,0.001,0.432,0.12,4.595,0.185,"na",3.98,0.118,0.19,"na",0.295,"na",5.076,"na",3.15,0.0,0.113
1988,5.521,0.752,0.806,"na",0.337,0.181,0.314,0.142,27.186,80.477,0.794,0.26,15.266,0.022,0.144,7.361,8.035,5.289,33.658,9.157,5.056,95.742,0.112,2.544,0.929,0.122,0.319,0.082,3.113,0.317,0.587,2.599,0.001,0.577,2.556,13.987,0.314,1.309,"na",0.786,0.262,2.057,1.406,2.352,1.659,1.719,0.267,0.327,0.001,0.342,0.126,4.783,0.154,"na",4.769,0.107,0.202,"na",0.286,"na",4.556,"na",3.17,0.0,0.156
1989,5.509,0.653,0.745,"na",0.698,0.174,0.309,0.112,33.263,91.282,0.8,0.25,15.182,0.009,0.161,8.114,8.526,5.236,37.075,9.173,5.077,106.464,0.12,2.602,1.031,0.105,0.309,0.113,3.128,0.338,0.557,2.591,0.001,0.66,2.959,16.745,0.316,1.33,"na",1.157,0.261,2.039,1.395,2.69,1.648,1.717,0.263,0.327,0.002,0.347,0.121,4.782,0.124,"na",4.957,0.148,0.237,"na",0.278,"na",4.531,"na",3.322,0.0,0.198
1990,5.482,0.642,0.723,"na",0.698,0.168,0.323,0.109,34.881,94.067,0.802,0.28,15.192,0.012,0.157,8.189,9.046,5.225,37.224,9.192,5.502,109.259,0.119,2.596,1.007,0.097,0.191,0.103,3.176,0.365,0.542,2.907,0.001,0.674,2.952,16.748,0.309,1.442,"na",1.148,0.26,2.005,1.552,2.698,1.868,1.667,0.264,0.326,0.002,0.375,0.117,4.777,0.098,"na",4.962,0.172,0.232,"na",0.245,"na",4.592,"na",3.806,0.014,0.246
1991,5.648,0.625,0.741,"na",0.693,0.164,0.386,0.112,2.415,100.884,0.759,0.306,14.663,0.004,0.155,9.104,8.296,5.154,41.914,9.101,5.653,115.547,0.128,2.582,1.01,0.095,0.171,0.105,3.49,0.381,0.537,1.868,0.001,0.703,2.945,19.503,0.353,1.435,"na",1.244,0.273,1.989,1.609,3.23,1.844,1.264,0.088,0.33,0.003,0.436,0.113,6.653,0.448,33.911,4.96,0.189,0.255,"na",0.231,"na",4.53,"na",3.976,0.014,0.325
1992,5.65,0.526,0.785,"na",0.292,0.159,0.39,0.116,2.391,103.728,0.77,0.312,14.701,0.004,0.156,9.467,8.684,5.265,43.157,8.982,5.753,118.429,0.137,2.545,1.41,0.178,0.174,0.134,3.513,0.42,0.607,1.847,0.001,0.707,2.945,20.389,0.289,1.42,"na",1.234,0.273,1.963,1.848,3.53,1.822,1.37,0.141,0.314,0.003,0.476,0.117,6.948,0.434,34.73,4.986,0.189,0.239,"na",0.227,"na",4.474,"na",4.099,0.102,0.325
1993,5.65,0.503,0.774,"na",0.286,0.151,0.39,0.114,3.41,105.704,0.727,0.315,14.093,0.004,0.154,9.584,9.087,5.153,43.589,8.483,5.757,119.797,0.141,2.126,1.684,0.203,0.174,0.131,3.561,0.573,0.627,1.847,0.001,0.691,2.945,20.389,0.28,1.417,"na",1.225,0.263,1.953,2.093,3.499,1.777,1.345,0.189,0.32,0.004,0.45,0.114,7.317,0.415,34.734,4.986,0.214,0.187,"na",0.224,"na",4.404,"na",4.099,0.102,0.325
1994,6.608,0.52,1.008,"na",0.29,0.145,0.39,0.104,3.851,106.688,0.756,0.333,13.995,0.004,0.151,8.737,9.453,5.13,44.696,8.168,6.139,120.683,0.151,1.808,1.683,0.206,0.195,0.129,2.852,0.607,0.657,1.847,0.001,0.676,2.959,20.453,0.286,1.424,"na",1.245,0.263,1.918,2.199,3.277,1.765,1.336,0.241,0.327,0.003,0.45,0.114,7.317,0.396,34.509,4.997,0.221,0.181,"na",0.278,"na",4.442,"na",4.401,0.129,0.325
1995,5.713,0.602,0.986,"na",0.262,0.14,0.39,0.123,4.13,107.159,0.786,0.389,14.02,0.004,0.146,9.506,9.646,5.132,44.566,8.212,6.283,121.18,0.159,1.837,1.683,0.209,0.211,0.125,3.552,0.621,0.697,1.979,0.001,0.651,3.192,19.06,0.285,1.419,"na",1.247,0.263,1.897,2.308,3.3,1.725,1.342,0.427,0.193,0.003,0.408,0.113,8.797,0.379,33.705,5.267,0.221,0.182,"na",0.339,"na",4.478,"na",4.512,0.142,0.325
1996,5.639,0.624,1.061,"na",0.289,0.135,0.39,0.104,3.939,110.284,0.81,0.383,14.162,0.004,0.141,9.735,9.227,5.214,48.375,8.155,6.376,124.446,0.163,1.85,1.18,0.209,0.215,0.119,3.561,0.817,0.756,2.081,0.001,0.617,3.192,22.655,0.267,1.415,"na",1.245,0.277,1.792,2.186,3.301,1.706,1.469,0.582,0.193,0.003,0.393,0.11,8.797,0.362,33.425,5.409,0.221,0.203,"na",0.443,"na",4.514,"na",4.497,0.165,0.325
1997,5.911,0.665,1.165,0.656,0.286,0.135,0.381,0.114,"na",114.237,0.796,0.394,13.845,0.004,0.141,10.17,9.443,4.883,48.596,8.036,6.611,128.082,0.235,1.723,1.169,0.189,0.201,0.116,3.924,0.892,0.761,2.184,0.001,0.666,3.029,22.655,0.263,1.416,1.458,1.248,0.278,1.779,2.175,3.309,1.721,1.164,0.511,0.191,0.003,0.364,0.114,8.797,0.349,33.567,5.588,0.224,0.212,2.637,0.503,0.743,4.534,1.238,4.574,0.164,0.325
1998,5.846,0.668,1.551,0.656,0.286,0.135,0.372,0.145,"na",118.611,0.818,0.391,13.034,0.004,0.137,10.309,10.499,4.758,52.291,6.955,6.758,131.645,0.233,1.665,1.378,0.189,0.201,0.108,3.924,0.982,0.751,2.214,0.001,0.649,3.029,23.739,0.254,1.408,1.458,1.249,0.28,0.842,2.371,3.336,1.673,1.163,0.535,0.238,0.003,0.404,0.104,11.281,0.335,33.364,5.765,0.224,0.435,2.519,0.545,0.796,4.448,1.238,4.604,0.164,0.325
1999,5.845,0.709,1.551,0.99,0.311,0.112,0.365,0.5,"na",121.508,0.844,0.325,13.153,0.005,0.137,10.958,10.759,4.836,53.839,7.029,7.2,134.661,0.238,1.637,1.378,0.181,0.237,0.148,4.351,1.177,0.756,2.659,0.002,0.624,3.121,24.625,0.2,1.408,1.43,1.249,0.282,0.852,2.338,3.336,1.623,1.238,0.782,0.238,0.003,0.401,0.108,11.547,0.324,32.95,5.839,0.227,0.357,2.601,0.588,0.789,4.539,1.238,4.609,0.164,0.325
2000,5.844,0.757,1.718,0.99,0.295,0.105,0.357,0.651,"na",127.434,1.052,0.323,13.458,0.005,0.118,11.933,11.095,4.706,58.336,7.24,7.267,140.891,0.228,1.603,1.378,0.124,0.232,0.15,4.353,1.379,0.731,2.722,0.043,0.731,2.954,25.61,0.191,1.479,1.43,1.248,0.282,0.827,2.249,3.901,1.571,1.25,0.81,0.238,0.003,0.501,0.088,14.949,0.312,33.156,5.986,0.227,0.373,2.601,0.542,0.785,4.811,1.308,4.609,0.164,0.325
2001,5.907,0.743,2.08,0.99,0.327,0.105,0.347,0.748,"na",140.58,1.07,0.372,14.785,0.005,0.117,12.571,11.566,5.474,70.463,7.377,7.396,155.365,0.227,1.614,1.378,0.123,0.224,0.147,4.353,1.499,0.652,2.642,0.043,0.734,2.954,25.708,0.176,1.479,1.43,1.248,0.339,0.789,2.249,4.401,1.536,2.173,0.892,0.238,0.003,0.516,0.085,26.685,0.3,33.362,6.133,0.227,0.391,2.601,0.56,0.785,4.974,1.308,4.64,0.186,0.325
2002,5.903,0.646,1.972,0.99,0.327,0.105,0.341,0.785,"na",142.765,1.041,0.372,14.193,0.005,0.116,13.164,11.654,5.279,71.306,7.073,7.366,156.958,0.252,1.585,1.278,0.116,0.211,0.136,4.353,1.595,0.627,2.595,0.043,0.723,3.03,26.29,0.165,1.479,1.476,1.428,0.437,0.42,2.379,4.747,1.493,2.101,0.892,0.238,0.003,0.548,0.086,26.685,0.29,33.911,6.314,0.236,0.456,2.601,0.573,0.785,5.069,1.308,4.641,0.222,0.325
2003,5.896,0.595,1.858,0.99,0.417,0.087,0.336,0.755,"na",143.434,0.998,0.409,14.207,0.005,0.07,13.251,11.799,5.45,71.872,7.069,7.22,157.641,0.253,1.527,1.347,0.11,0.191,0.143,4.375,1.66,0.587,2.595,0.045,0.822,3.011,27.156,0.13,1.493,1.476,1.416,0.398,0.417,2.426,4.802,1.427,2.443,0.933,0.238,0.003,0.543,0.081,26.23,0.284,33.773,6.416,0.273,0.433,2.601,0.517,0.781,5.126,1.315,4.683,0.212,0.325
2004,5.931,0.527,1.812,0.99,0.406,0.086,0.334,0.731,"na",144.13,1.017,0.411,14.049,0.005,0.064,13.575,12.132,5.241,71.862,7.158,7.364,158.179,0.336,1.524,1.46,0.115,0.177,0.138,4.375,1.8,0.528,2.811,0.045,0.888,3.011,27.087,0.12,1.493,1.476,1.416,0.477,0.415,2.372,4.967,1.389,2.368,0.938,0.313,0.002,0.581,0.08,26.249,0.275,33.636,6.419,0.273,0.366,2.601,0.517,0.785,5.22,1.315,4.761,0.212,0.325
2005,5.962,0.427,1.836,0.99,0.392,0.086,0.331,0.73,"na",144.783,1.148,0.399,14.25,0.005,0.064,13.452,12.136,5.391,72.317,7.501,7.268,159.034,0.316,1.555,1.547,0.109,0.164,0.127,4.335,1.824,0.479,2.515,0.043,1.06,3.011,27.166,0.112,1.493,1.476,1.25,0.529,0.404,2.322,4.894,1.335,2.34,0.938,0.321,0.002,0.677,0.078,26.533,0.585,33.773,6.481,0.273,0.315,2.601,0.515,0.778,5.542,1.308,4.786,0.212,0.325
2006,6.28,0.434,1.852,0.99,0.369,0.086,0.323,0.714,"na",145.803,1.145,0.399,14.207,0.004,0.063,13.747,12.504,5.161,72.24,7.669,7.699,160.01,0.359,1.562,1.697,0.118,0.143,0.125,4.335,1.97,0.41,2.671,0.043,1.035,3.011,26.447,0.09,1.691,1.484,1.349,0.529,0.384,2.397,4.947,1.272,2.285,0.924,0.319,0.002,0.677,0.083,26.437,0.585,33.773,6.719,0.273,0.343,2.601,0.467,0.777,5.723,1.323,5.225,0.212,0.325
2007,6.276,0.43,1.788,0.998,0.36,0.081,0.334,0.685,"na",148.871,1.161,0.334,14.672,0.004,0.065,13.979,13.56,4.999,73.629,8.371,7.84,163.543,0.376,1.556,2.273,0.12,0.13,0.072,4.335,1.992,0.341,3.047,0.042,1.015,3.011,27.708,0.08,1.695,1.515,1.463,0.486,0.369,2.424,5.027,1.229,2.296,0.924,0.322,0.002,0.669,0.085,26.356,0.585,33.911,6.939,0.268,0.328,2.601,0.468,0.777,6.446,1.323,5.372,0.5,0.325
2008,5.938,0.388,2.743,1.055,0.331,0.086,0.313,0.685,"na",156.247,1.125,0.322,15.673,0.004,0.065,14.02,14.986,4.745,74.744,8.66,7.915,171.921,0.376,1.671,2.711,0.119,0.111,0.057,4.335,2.069,0.291,3.233,0.042,1.049,3.011,29.166,0.067,1.695,1.515,1.463,0.339,0.355,2.399,5.027,1.189,2.198,0.895,0.327,0.002,0.609,0.086,26.253,0.575,33.979,7.075,0.254,0.352,8.184,0.423,0.761,6.633,1.316,5.531,0.583,0.325
2009,5.939,0.368,2.753,1.017,0.35,0.22,0.301,0.272,"na",156.261,1.182,0.29,16.225,0.005,0.065,14.124,15.245,4.546,74.824,9.369,7.559,172.487,0.378,1.645,2.868,0.129,0.086,0.067,4.335,2.108,0.255,3.116,0.086,1.073,3.011,29.166,0.061,1.695,1.515,1.472,0.327,0.335,2.398,5.027,1.229,2.031,0.499,0.327,0.15,0.581,0.09,26.208,0.565,34.048,7.403,0.269,0.323,8.184,0.397,0.746,7.389,1.268,5.622,0.714,0.324
2010,5.939,0.349,2.86,1.021,0.341,0.208,0.294,0.271,"na",162.639,1.179,0.28,17.447,0.005,0.06,13.98,14.924,4.428,78.151,10.493,8.106,180.086,0.436,1.883,2.747,0.147,0.077,0.054,4.335,2.127,0.251,3.01,0.194,1.105,3.013,32.594,0.063,1.695,1.513,1.42,0.217,0.35,2.414,4.919,1.153,2.027,0.49,0.34,0.149,0.551,0.089,25.924,0.555,34.116,7.505,0.269,0.31,11.332,0.371,0.73,8.259,1.251,6.132,0.646,0.316
2011,5.939,0.323,3.634,1.021,0.336,0.208,0.281,0.271,"na",171.91,1.201,0.276,18.903,0.005,0.059,14.03,16.001,3.91,79.148,11.244,8.124,190.812,0.474,1.829,2.929,0.149,0.07,0.045,4.335,2.108,0.245,3.01,0.194,1.23,3.408,33.116,0.06,1.695,1.369,1.47,0.217,0.357,2.453,4.917,1.087,2.054,0.485,0.346,0.149,0.546,0.079,25.924,0.102,34.46,7.602,0.269,0.295,19.486,0.365,0.729,9.058,1.251,6.137,0.646,0.304
2012,5.939,0.307,3.634,1.021,0.265,0.189,0.281,0.306,"na",172.257,1.19,0.265,18.027,0.005,0.058,13.822,16.224,3.66,79.162,10.613,8.254,190.284,0.473,1.904,3.14,0.156,0.062,0.04,4.335,1.964,0.243,2.97,0.194,1.28,3.408,33.273,0.057,1.695,0.947,1.472,0.278,0.356,2.511,4.862,0.844,2.074,0.476,0.419,0.149,0.539,0.076,25.759,0.095,34.64,7.661,0.269,0.265,19.486,0.361,1.165,8.352,1.251,6.173,0.646,0.295
2013,5.939,0.319,3.634,1.008,0.244,0.181,0.269,0.287,"na",173.127,1.177,0.287,18.764,0.005,0.057,13.572,16.755,3.543,79.44,11.447,8.228,191.89,0.472,1.931,3.375,0.15,0.055,0.038,4.335,1.777,0.24,2.918,0.187,1.304,3.408,33.51,0.054,1.695,1.082,1.431,0.518,0.344,2.68,4.852,0.793,2.034,0.665,0.41,0.149,0.485,0.072,25.542,0.095,34.944,7.758,0.269,0.247,19.486,0.337,1.137,9.171,1.211,6.195,0.646,0.282
2014,5.939,0.323,3.634,1.339,0.223,0.172,0.269,0.271,"na",173.974,1.115,0.279,19.252,0.005,0.061,13.714,16.973,3.28,79.494,12.211,8.22,193.227,0.486,1.893,3.576,0.13,0.045,0.036,4.335,1.777,0.205,2.882,0.182,1.374,3.509,33.51,0.052,1.695,1.076,1.43,0.519,0.321,2.744,5.058,0.706,1.908,0.649,0.399,0.146,0.455,0.07,25.387,0.103,35.049,7.909,0.269,0.227,19.486,0.317,1.138,9.997,1.211,6.235,0.646,0.27
2015,5.939,0.341,3.634,1.319,0.198,0.163,0.269,0.271,"na",173.856,1.059,0.271,17.61,0.005,0.061,13.621,17.704,3.204,78.838,10.653,8.263,191.466,0.443,2.068,4.679,0.119,0.041,0.018,4.335,1.777,0.206,2.816,0.174,1.205,3.509,32.998,0.047,1.695,1.106,1.43,0.519,0.241,2.737,5.02,0.729,1.843,0.664,0.384,0.136,0.38,0.067,25.15,0.103,34.957,8.006,0.269,0.214,19.486,0.317,1.07,8.344,1.211,6.329,0.646,0.267
2016,5.939,0.327,3.634,1.319,0.178,0.155,0.269,0.271,"na",175.428,1.072,0.27,17.663,0.005,0.061,13.816,19.239,2.989,78.834,10.928,8.259,193.092,0.389,1.996,5.479,0.11,0.037,0.014,4.335,1.777,0.184,2.909,0.166,1.181,3.509,33.215,0.037,1.695,1.093,1.43,1.168,0.196,2.737,5.201,0.654,1.75,0.664,0.439,0.202,0.365,0.065,24.915,0.103,34.833,8.035,0.269,0.2,19.486,0.292,1.05,8.737,1.211,6.371,0.646,0.267
2017,5.939,0.327,3.634,1.319,0.178,0.155,0.269,0.271,"na",175.643,1.07,0.269,17.809,0.005,0.061,13.813,19.308,2.958,79.124,10.815,8.22,193.452,0.381,1.883,5.479,0.11,0.032,0.014,4.335,1.777,0.184,2.914,0.456,1.241,3.509,33.215,0.043,1.695,1.144,1.43,1.168,0.196,2.737,5.201,0.654,1.716,0.664,0.439,0.192,0.38,0.067,24.915,0.103,34.97,8.035,0.269,0.2,19.486,0.26,1.05,8.737,1.211,6.371,0.646,0.267
